City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Kokopo,PG,79.61,moderate rain,-4.352,152.2633,Kokopo Beach Bungalow Resort
450,Madimba,TZ,71.56,scattered clouds,-10.4,40.3333,
451,Palmer,US,58.5,overcast clouds,42.1584,-72.3287,Wedgewood Motel
452,Beyla,GN,68.16,broken clouds,8.6833,-8.6333,DIAN SINKO
453,Port Blair,IN,79.5,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
454,Camachile,PH,81.0,overcast clouds,14.6436,120.5808,Villa Catalina Resort
455,Scottsbluff,US,79.92,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
456,Svetlaya,RU,49.48,clear sky,46.5389,138.3297,
457,Mahebourg,MU,70.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
458,Seydi,TM,47.37,scattered clouds,39.4816,62.9137,Seydi oteli
459,Chepareria,KE,61.47,overcast clouds,1.3077,35.2039,Hamza Lodge
460,Jinchang,CN,46.42,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
